file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,"getBounds/3[RectF,Matrix,boolean]",248,6,3,13,16,0,4,3,248,2,0,0,1,2,10,4,12,2,0,0,0,17,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,"addValueCallback/2[T,com.airbnb.lottie.value.LottieValueCallback<T>]",311,12,5,4,18,0,0,2,311,0,4,0,0,1,0,2,0,2,0,0,0,10,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,"BaseStrokeContent/9[com.airbnb.lottie.LottieDrawable,com.airbnb.lottie.model.layer.BaseLayer,Paint.Cap,Paint.Join,float,com.airbnb.lottie.model.animatable.AnimatableIntegerValue,com.airbnb.lottie.model.animatable.AnimatableFloatValue,java.util.List<com.airbnb.lottie.model.animatable.AnimatableFloatValue>,com.airbnb.lottie.model.animatable.AnimatableFloatValue]",57,10,7,14,37,0,3,9,57,3,1,0,0,0,3,11,0,1,0,0,0,22,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,"resolveKeyPath/4[com.airbnb.lottie.model.KeyPath,int,java.util.List<com.airbnb.lottie.model.KeyPath>,com.airbnb.lottie.model.KeyPath]",304,2,1,1,3,0,0,4,304,0,0,0,0,0,0,0,0,0,0,0,0,5,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,onValueChanged/0,101,1,1,1,3,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,"applyTrimPath/3[Canvas,com.airbnb.lottie.animation.content.BaseStrokeContent.PathGroup,Matrix]",181,8,15,19,63,1,12,3,181,3,1,0,4,3,14,17,24,3,0,0,0,19,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,"draw/3[Canvas,Matrix,int]",140,10,7,22,36,2,4,3,140,2,0,0,4,8,9,4,6,3,0,0,0,29,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,applyDashPatternIfNeeded/1[Matrix],273,5,7,8,25,1,3,1,273,1,2,0,0,3,8,7,1,3,0,0,0,18,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\BaseStrokeContent.java,com.airbnb.lottie.animation.content.BaseStrokeContent,"setContents/2[java.util.List<com.airbnb.lottie.animation.content.Content>,java.util.List<com.airbnb.lottie.animation.content.Content>]",105,4,12,6,32,0,6,2,105,2,3,0,3,0,4,9,2,3,0,0,0,14,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\CompoundTrimPathContent.java,com.airbnb.lottie.animation.content.CompoundTrimPathContent,addTrimPath/1[com.airbnb.lottie.animation.content.TrimPathContent],13,1,1,1,3,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\CompoundTrimPathContent.java,com.airbnb.lottie.animation.content.CompoundTrimPathContent,apply/1[Path],17,2,2,3,5,0,1,1,17,1,0,0,0,0,2,1,1,1,0,0,0,4,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\Content.java,com.airbnb.lottie.animation.content.Content,getName/0,6,0,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,-1,0,0,0,2,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\airbnb-lottie-android\airbnb-lottie-android-3.0.0\lottie\src\main\java\com\airbnb\lottie\animation\content\Content.java,com.airbnb.lottie.animation.content.Content,"setContents/2[java.util.List<com.airbnb.lottie.animation.content.Content>,java.util.List<com.airbnb.lottie.animation.content.Content>]",8,1,1,0,1,0,0,2,8,0,0,0,0,0,0,0,0,-1,0,0,0,4,0
