file,class,type,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-app\src\main\java\org\apache\tika\cli\TikaCLI.java,org.apache.tika.cli.TikaCLI,class,27,114,5,80,80,16,3,3,13,0,0,0,0,0,25,1,0,25,0,0,12,0,11,761,7,9,1,2,16,153,16,87,13,52,3,17,6,0,337,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-app\src\main\java\org\apache\tika\gui\ParsingTransferHandler.java,org.apache.tika.gui.ParsingTransferHandler,class,2,23,2,16,8,9,1,7,2,0,0,0,0,0,5,3,0,5,0,0,3,0,1,93,7,3,0,3,0,5,1,9,0,9,2,0,0,0,76,0
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-app\src\main\java\org\apache\tika\gui\TikaGUI.java,org.apache.tika.gui.TikaGUI,class,17,40,7,84,121,18,1,6,12,0,0,0,0,0,12,1,0,12,0,0,12,0,13,452,5,1,2,9,0,70,15,51,4,49,3,2,2,0,290,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-app\src\main\java\org\apache\tika\io\json\JsonMetadataSerializer.java,org.apache.tika.io.json.JsonMetadataSerializer,class,12,8,1,7,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,45,4,2,4,0,0,0,3,6,0,6,3,0,0,0,39,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-app\src\test\java\org\apache\tika\cli\TikaCLITest.java,org.apache.tika.cli.TikaCLITest,class,4,19,1,16,0,17,0,17,0,0,0,0,0,0,5,0,0,5,0,0,0,0,18,151,0,0,0,1,0,62,7,33,14,30,1,0,0,0,111,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-bundle\src\test\java\org\apache\tika\bundle\BundleIT.java,org.apache.tika.bundle.BundleIT,class,18,13,2,31,21,7,0,7,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,142,1,3,0,1,0,38,1,20,2,18,2,0,1,0,101,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-core\src\main\java\org\apache\tika\config\LoadErrorHandler.java,org.apache.tika.config.LoadErrorHandler,interface,1,1,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,0,3,-1,3,0,0,81,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-core\src\main\java\org\apache\tika\config\ServiceLoader.java,org.apache.tika.config.ServiceLoader,class,4,36,1,37,42,17,4,12,1,1,0,0,0,0,7,4,0,7,0,0,6,0,9,192,13,4,3,4,0,15,2,29,4,23,4,0,1,0,171,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-core\src\main\java\org\apache\tika\config\TikaActivator.java,org.apache.tika.config.TikaActivator,class,9,6,1,9,2,5,0,5,0,0,0,0,0,0,3,0,0,3,0,0,0,0,2,41,1,0,0,0,0,0,1,7,0,6,1,0,0,0,56,1
C:\Users\user\Desktop\FIT4003\raw_sourcecode\apache-tika\apache-tika-1.6\tika-core\src\main\java\org\apache\tika\config\TikaConfig.java,org.apache.tika.config.TikaConfig,class,21,67,1,59,312,29,12,17,12,0,0,0,0,0,4,0,0,4,0,0,4,0,36,328,25,6,8,7,0,30,7,59,13,41,5,0,0,0,163,1
