release_tag,version_name
488107e,1.2.61
dfdb59f,1.2.60
69fb121,1.2.59
bb23dce,1.2.58
2bd96e9,1.2.57
e44c603,1.2.56
0546d84,1.2.55
9c2e59f,1.2.54
104dfe0,1.2.52
0d36bae,1.2.51
bf9a900,1.2.50
e105991,1.2.49
28da8e1,1.2.48
03d77b6,1.2.47
00bbb28,1.2.46
9038e3b,1.2.45
b9c5a6b,1.2.44
99e899a,1.2.43
15a626a,1.2.42
b7c4d4e,1.2.41
ea4bfce,2.1.40
