release_tag,version_name
d26935f,2.1.0
2ba95bb,2.0.0
4e162a4,1.2.3
d2d6f40,1.2.2
d156d25,1.2.1
2a0097f,1.2.0
babab96,1.1.4
c51c8fc,1.1.3
0bb7a66,1.1.2
41bfea8,1.1.1
e40d213,1.1.0
672fa4a,1.0.7
7993db0,1.0.6
a445446,1.0.5
a5e1c15,1.0.4
eac433b,1.0.3
54f319f,1.0.2
b5c16f9,1.0.1
dba655a,1.0.0
d8e4a3b,0.10.2
8179921,0.10.1
