name,version,bunch_algo,n_MoJo,mojoFM
apache-storm,1.1.0,ga,1632,20.583941605839417
apache-storm,1.1.1,hillclimbing,1693,17.615571776155715
apache-storm,1.1.2,hillclimbing,1224,40.43795620437957
apache-storm,1.1.3,ga,1290,37.22627737226277
apache-storm,1.1.4,ga,1495,27.25060827250608
apache-storm,1.2.0,hillclimbing,1595,22.384428223844278
apache-storm,1.2.1,hillclimbing,847,58.783454987834546
apache-storm,1.2.2,exhaustive,1518,26.131386861313864
apache-storm,1.2.3,hillclimbing,1195,41.84914841849149
apache-storm,2.0.0,ga,2219,-7.980535279805356
apache-cassandra,3.11.3,ga,1718,27.936241610738254
apache-cassandra,3.11.4,hillclimbing,1840,22.818791946308725
apache-cassandra,3.2,exhaustive,1121,52.978187919463096
apache-cassandra,3.2.1,ga,1444,39.429530201342274
apache-cassandra,3.3,ga,1180,50.503355704697995
apache-cassandra,3.4,hillclimbing,1628,31.711409395973156
apache-cassandra,3.5,exhaustive,1606,32.63422818791947
apache-cassandra,3.6,exhaustive,1501,37.038590604026844
apache-cassandra,3.7,exhaustive,1544,35.23489932885906
apache-cassandra,3.8,hillclimbing,1371,42.491610738255034
airbnb-lottie-android,2.6.0,hillclimbing,113,85.05291005291005
airbnb-lottie-android,2.6.1,hillclimbing,119,84.25925925925925
airbnb-lottie-android,2.7.0,ga,111,85.31746031746032
airbnb-lottie-android,3.0.0,exhaustive,118,84.39153439153439
airbnb-lottie-android,3.0.1,hillclimbing,110,85.44973544973546
airbnb-lottie-android,3.0.2,exhaustive,116,84.65608465608466
airbnb-lottie-android,3.0.3,exhaustive,89,88.22751322751323
airbnb-lottie-android,3.0.4,exhaustive,91,87.96296296296296
airbnb-lottie-android,3.0.5,hillclimbing,126,83.33333333333334
airbnb-lottie-android,3.0.6,exhaustive,113,85.05291005291005
apache-isis,1.15.0,exhaustive,2416,31.05022831050228
apache-isis,1.15.1,ga,2453,29.99429223744292
apache-isis,1.16.0,hillclimbing,2708,22.716894977168945
apache-isis,1.16.1,hillclimbing,2684,23.40182648401826
apache-isis,1.16.2,hillclimbing,2662,24.0296803652968
apache-isis,1.17.0,hillclimbing,2741,21.775114155251142
apache-isis,1.6.0,exhaustive,3833,-9.389269406392685
apache-isis,1.7.0,ga,4184,-19.406392694063925
apache-isis,1.8.0,hillclimbing,4359,-24.400684931506845
apache-isis,1.9.0,ga,4533,-29.366438356164394
apache-jmeter,2.7,ga,814,44.8509485094851
apache-jmeter,2.8,exhaustive,719,51.28726287262872
apache-jmeter,2.9,ga,795,46.13821138211382
apache-jmeter,3.0,ga,834,43.49593495934959
apache-jmeter,3.1,hillclimbing,821,44.37669376693767
apache-jmeter,3.2,hillclimbing,889,39.76964769647696
apache-jmeter,3.3,exhaustive,970,34.28184281842819
apache-jmeter,4.0,hillclimbing,1015,31.233062330623305
apache-jmeter,5.0,ga,1049,28.92953929539296
apache-jmeter,5.1,exhaustive,985,33.265582655826556
apache-log4j,1.2.13,exhaustive,228,19.43462897526502
apache-log4j,1.2.14,ga,245,13.427561837455826
apache-log4j,1.2.15,exhaustive,283,0.0
apache-log4j,1.2.16,exhaustive,327,-15.547703180212014
apache-log4j,1.2.17,exhaustive,325,-14.840989399293282
apache-log4j,1.2.2,hillclimbing,249,12.014134275618371
apache-log4j,1.2.3,hillclimbing,253,10.600706713780916
apache-log4j,1.2.4,exhaustive,242,14.487632508833926
apache-log4j,1.2.6,ga,249,12.014134275618371
apache-log4j,1.2.7,exhaustive,233,17.667844522968203
apache-maven,3.3.7,ga,614,67.34042553191489
apache-maven,3.3.8,ga,637,66.11702127659575
apache-maven,3.3.9,ga,653,65.26595744680851
apache-maven,3.5.0,exhaustive,376,80.0
apache-maven,3.5.1,ga,486,74.14893617021276
apache-maven,3.5.2,ga,673,64.20212765957447
apache-maven,3.5.3,exhaustive,690,63.297872340425535
apache-maven,3.5.4,exhaustive,612,67.44680851063829
apache-maven,3.6.0,ga,621,66.96808510638299
apache-maven,3.6.1,ga,678,63.936170212765965
apache-spark,2.2.3,hillclimbing,486,96.49451817657241
apache-spark,2.3.0,hillclimbing,541,96.09780727062896
apache-spark,2.3.1,ga,540,96.10502019619157
apache-spark,2.3.2,ga,571,95.88141950375072
apache-spark,2.3.3,ga,579,95.82371609924985
apache-spark,2.3.4,ga,523,96.22763993075591
apache-spark,2.4.0,ga,609,95.60732833237161
apache-spark,2.4.1,hillclimbing,542,96.09059434506636
apache-spark,2.4.2,exhaustive,640,95.38372763993075
apache-spark,2.4.3,hillclimbing,593,95.72273514137333
apache-tomcat,9.0.20,ga,1775,55.390801708972106
apache-tomcat,9.0.21,ga,1718,56.82332244282483
apache-tomcat,9.0.22,ga,1852,53.45564212113596
apache-tomcat,9.0.23,hillclimbing,1791,54.988690625785374
apache-tomcat,9.0.24,hillclimbing,1612,59.48730836893692
apache-tomcat,9.0.25,hillclimbing,1646,58.632822317165115
apache-tomcat,9.0.26,hillclimbing,1688,57.57728072379995
apache-tomcat,9.0.6,exhaustive,1597,59.86428750942447
apache-tomcat,9.0.7,exhaustive,1782,55.214878110077905
apache-tomcat,9.0.8,hillclimbing,1916,51.847197788389046
rzwitserloot-lombok,1.16.20,exhaustive,616,33.333333333333336
rzwitserloot-lombok,1.16.22,ga,586,36.58008658008658
rzwitserloot-lombok,1.16.4,ga,424,54.112554112554115
apache-tika,1.19.1,ga,937,-9.207459207459202
apache-tika,1.2,ga,323,62.35431235431235
apache-tika,1.20,hillclimbing,898,-4.66200466200466
apache-tika,1.21,ga,881,-2.680652680652673
apache-tika,1.22,hillclimbing,904,-5.3613053613053685
apache-tika,1.3,hillclimbing,291,66.08391608391608
apache-tika,1.4,hillclimbing,272,68.2983682983683
apache-tika,1.5,hillclimbing,323,62.35431235431235
apache-tika,1.6,exhaustive,338,60.60606060606061
apache-tika,1.7,hillclimbing,296,65.5011655011655
alibaba-fastjson,1.2.51,ga,1300,53.203743700503956
alibaba-fastjson,1.2.52,exhaustive,1442,48.09215262778977
alibaba-fastjson,1.2.54,exhaustive,1558,43.916486681065514
alibaba-fastjson,1.2.55,exhaustive,1778,35.997120230381576
alibaba-fastjson,1.2.56,ga,1664,40.10079193664507
alibaba-fastjson,1.2.57,hillclimbing,1050,62.20302375809935
alibaba-fastjson,1.2.58,exhaustive,1481,46.68826493880489
alibaba-fastjson,1.2.59,hillclimbing,275,90.10079193664507
alibaba-fastjson,1.2.60,hillclimbing,1422,48.81209503239741
alibaba-fastjson,1.2.61,hillclimbing,1351,51.367890568754504
activiti-activiti,7.1.74,ga,1704,58.58045697617891
activiti-activiti,7.1.75,exhaustive,1731,57.924161400097226
activiti-activiti,7.1.76,ga,1823,55.68789499270783
activiti-activiti,7.1.77,exhaustive,1269,69.1541079241614
activiti-activiti,7.1.78,exhaustive,1558,62.12931453573165
activiti-activiti,7.1.79,ga,1881,54.278074866310156
activiti-activiti,7.1.80,ga,1658,59.6985901798736
activiti-activiti,7.1.81,ga,1732,57.899854156538645
activiti-activiti,7.1.82,ga,1865,54.66699076324745
activiti-activiti,7.1.83,hillclimbing,1614,60.768108896451146
bumptech-glide,4.2.0,ga,420,61.111111111111114
bumptech-glide,4.3.0,exhaustive,437,59.53703703703703
bumptech-glide,4.3.1,ga,447,58.611111111111114
bumptech-glide,4.4.0,hillclimbing,538,50.185185185185176
