name,version,bunch_algo,n_MoJo,mojoFM,extremity,extremity_ground_truth
apache-storm,1.1.0,ga,1632,20.583941605839414,0.16666666666666663,0.003819223424570306
apache-storm,1.1.1,hillclimbing,1693,17.615571776155715,0.7916666666666666,0.00939261114589851
apache-storm,1.1.2,hillclimbing,1224,40.43795620437957,0.6923076923076923,0.016460905349794275
apache-storm,1.1.3,ga,1290,37.22627737226277,0.33333333333333337,0.010351966873705987
apache-storm,1.1.4,ga,1495,27.25060827250608,0.8688524590163934,0.1058601134215501
apache-storm,1.2.0,hillclimbing,1595,22.38442822384428,0.7575757575757576,0.0672268907563025
apache-storm,1.2.1,hillclimbing,847,58.783454987834546,0.7142857142857143,0.006741573033707815
apache-storm,1.2.2,exhaustive,1518,26.131386861313864,0.631578947368421,0.032327586206896575
apache-storm,1.2.3,hillclimbing,1195,41.849148418491495,0.36363636363636365,0.016908212560386437
apache-storm,2.0.0,ga,2219,-7.980535279805356,0.6,0.011886304909560774
apache-cassandra,3.11.3,ga,1718,27.93624161073825,0.6842105263157895,0.027722772277227747
apache-cassandra,3.11.4,hillclimbing,1840,22.81879194630873,0.8214285714285714,0.03910614525139666
apache-cassandra,3.2,exhaustive,1121,52.9781879194631,0.8846153846153846,0.15966386554621848
apache-cassandra,3.2.1,ga,1444,39.429530201342274,0.9574468085106383,0.2928571428571428
apache-cassandra,3.3,ga,1180,50.503355704698,0.736842105263158,0.1166666666666667
apache-cassandra,3.4,hillclimbing,1628,31.711409395973156,0.8387096774193549,0.10116731517509725
apache-cassandra,3.5,exhaustive,1606,32.63422818791947,0.72,0.08636363636363631
apache-cassandra,3.6,exhaustive,1501,37.03859060402685,0.85,0.12681159420289856
apache-cassandra,3.7,exhaustive,1544,35.234899328859065,0.5263157894736843,0.050193050193050204
apache-cassandra,3.8,hillclimbing,1371,42.49161073825504,0.9,0.09090909090909094
airbnb-lottie-android,2.6.0,hillclimbing,113,85.05291005291005,0.9166666666666666,0.05063291139240511
airbnb-lottie-android,2.6.1,hillclimbing,119,84.25925925925925,1.0,0.05555555555555558
airbnb-lottie-android,2.7.0,ga,111,85.3174603174603,1.0,0.06756756756756754
airbnb-lottie-android,3.0.0,exhaustive,118,84.39153439153439,0.875,0.25
airbnb-lottie-android,3.0.1,hillclimbing,110,85.44973544973546,1.0,0.2222222222222222
airbnb-lottie-android,3.0.2,exhaustive,116,84.65608465608466,1.0,0.2068965517241379
airbnb-lottie-android,3.0.3,exhaustive,89,88.22751322751324,0.6,0.13888888888888884
airbnb-lottie-android,3.0.4,exhaustive,91,87.96296296296295,0.8333333333333334,0.1282051282051282
airbnb-lottie-android,3.0.5,hillclimbing,126,83.33333333333334,0.7777777777777778,0.18918918918918914
airbnb-lottie-android,3.0.6,exhaustive,113,85.05291005291005,1.0,0.1470588235294118
apache-isis,1.15.0,exhaustive,2416,31.05022831050228,0.6521739130434783,0.02341137123745818
apache-isis,1.15.1,ga,2453,29.994292237442924,0.6896551724137931,0.037878787878787845
apache-isis,1.16.0,hillclimbing,2708,22.716894977168945,0.6799999999999999,0.02833333333333332
apache-isis,1.16.1,hillclimbing,2684,23.401826484018265,0.8846153846153846,0.08349514563106797
apache-isis,1.16.2,hillclimbing,2662,24.0296803652968,0.7435897435897436,0.05335968379446643
apache-isis,1.17.0,hillclimbing,2741,21.775114155251146,0.7666666666666666,0.03752345215759845
apache-isis,1.6.0,exhaustive,3833,-9.389269406392684,0.0,0.002123142250530785
apache-isis,1.7.0,ga,4184,-19.406392694063925,0.72,0.015503875968992276
apache-isis,1.8.0,hillclimbing,4359,-24.400684931506845,0.7857142857142857,0.01532077880625593
apache-isis,1.9.0,ga,4533,-29.366438356164394,0.55,0.010113780025284402
apache-jmeter,2.7,ga,814,44.8509485094851,0.7692307692307692,0.14590747330960852
apache-jmeter,2.8,exhaustive,719,51.287262872628716,0.75,0.03543307086614178
apache-jmeter,2.9,ga,795,46.138211382113816,0.8214285714285714,0.09756097560975607
apache-jmeter,3.0,ga,834,43.4959349593496,0.8235294117647058,0.03547671840354771
apache-jmeter,3.1,hillclimbing,821,44.37669376693768,0.5714285714285714,0.010799136069114423
apache-jmeter,3.2,hillclimbing,889,39.76964769647696,0.7857142857142857,0.01834862385321101
apache-jmeter,3.3,exhaustive,970,34.281842818428196,0.7857142857142857,0.026694045174537995
apache-jmeter,4.0,hillclimbing,1015,31.2330623306233,0.8421052631578947,0.03522504892367906
apache-jmeter,5.0,ga,1049,28.92953929539296,0.8421052631578947,0.03619047619047622
apache-jmeter,5.1,exhaustive,985,33.265582655826556,0.75,0.048484848484848464
apache-log4j,1.2.13,exhaustive,228,19.434628975265017,0.8,0.02083333333333337
apache-log4j,1.2.14,ga,245,13.427561837455823,0.8571428571428572,0.033333333333333326
apache-log4j,1.2.15,exhaustive,283,0.0,1.0,0.0
apache-log4j,1.2.16,exhaustive,327,-15.547703180212016,0.9285714285714286,0.0060975609756097615
apache-log4j,1.2.17,exhaustive,325,-14.840989399293282,0.935483870967742,0.0
apache-log4j,1.2.2,hillclimbing,249,12.014134275618371,0.8181818181818181,0.0038461538461538325
apache-log4j,1.2.3,hillclimbing,253,10.600706713780916,0.875,0.0117647058823529
apache-log4j,1.2.4,exhaustive,242,14.487632508833926,0.875,0.01869158878504673
apache-log4j,1.2.6,ga,249,12.014134275618371,0.875,0.018779342723004744
apache-log4j,1.2.7,exhaustive,233,17.667844522968203,0.4545454545454546,0.022727272727272707
apache-maven,3.3.7,ga,614,67.34042553191489,0.625,0.06557377049180324
apache-maven,3.3.8,ga,637,66.11702127659575,0.7272727272727273,0.109375
apache-maven,3.3.9,ga,653,65.26595744680851,0.6,0.09523809523809523
apache-maven,3.5.0,exhaustive,376,80.0,0.5,0.0
apache-maven,3.5.1,ga,486,74.14893617021276,0.4545454545454546,0.1428571428571429
apache-maven,3.5.2,ga,673,64.20212765957447,0.8666666666666667,0.36
apache-maven,3.5.3,exhaustive,690,63.29787234042554,0.8666666666666667,0.20967741935483875
