Instance,cbo_sum,wmc_sum,dit_sum,rfc_sum,lcom_sum,totalMethods_sum,staticMethods_sum,publicMethods_sum,privateMethods_sum,protectedMethods_sum,defaultMethods_sum,abstractMethods_sum,finalMethods_sum,synchronizedMethods_sum,totalFields_sum,staticFields_sum,publicFields_sum,privateFields_sum,protectedFields_sum,defaultFields_sum,finalFields_sum,synchronizedFields_sum,nosi_sum,loc_sum,returnQty_sum,loopQty_sum,comparisonsQty_sum,tryCatchQty_sum,parenthesizedExpsQty_sum,stringLiteralsQty_sum,numbersQty_sum,assignmentsQty_sum,mathOperationsQty_sum,variablesQty_sum,maxNestedBlocks_sum,anonymousClassesQty_sum,subClassesQty_sum,lambdasQty_sum,uniqueWordsQty_sum,modifiers_sum,cbo_max,wmc_max,dit_max,rfc_max,lcom_max,totalMethods_max,staticMethods_max,publicMethods_max,privateMethods_max,protectedMethods_max,defaultMethods_max,abstractMethods_max,finalMethods_max,synchronizedMethods_max,totalFields_max,staticFields_max,publicFields_max,privateFields_max,protectedFields_max,defaultFields_max,finalFields_max,synchronizedFields_max,nosi_max,loc_max,returnQty_max,loopQty_max,comparisonsQty_max,tryCatchQty_max,parenthesizedExpsQty_max,stringLiteralsQty_max,numbersQty_max,assignmentsQty_max,mathOperationsQty_max,variablesQty_max,maxNestedBlocks_max,anonymousClassesQty_max,subClassesQty_max,lambdasQty_max,uniqueWordsQty_max,modifiers_max,cbo_std,wmc_std,dit_std,rfc_std,lcom_std,totalMethods_std,staticMethods_std,publicMethods_std,privateMethods_std,protectedMethods_std,defaultMethods_std,abstractMethods_std,finalMethods_std,synchronizedMethods_std,totalFields_std,staticFields_std,publicFields_std,privateFields_std,protectedFields_std,defaultFields_std,finalFields_std,synchronizedFields_std,nosi_std,loc_std,returnQty_std,loopQty_std,comparisonsQty_std,tryCatchQty_std,parenthesizedExpsQty_std,stringLiteralsQty_std,numbersQty_std,assignmentsQty_std,mathOperationsQty_std,variablesQty_std,maxNestedBlocks_std,anonymousClassesQty_std,subClassesQty_std,lambdasQty_std,uniqueWordsQty_std,modifiers_std,cbo_mean,wmc_mean,dit_mean,rfc_mean,lcom_mean,totalMethods_mean,staticMethods_mean,publicMethods_mean,privateMethods_mean,protectedMethods_mean,defaultMethods_mean,abstractMethods_mean,finalMethods_mean,synchronizedMethods_mean,totalFields_mean,staticFields_mean,publicFields_mean,privateFields_mean,protectedFields_mean,defaultFields_mean,finalFields_mean,synchronizedFields_mean,nosi_mean,loc_mean,returnQty_mean,loopQty_mean,comparisonsQty_mean,tryCatchQty_mean,parenthesizedExpsQty_mean,stringLiteralsQty_mean,numbersQty_mean,assignmentsQty_mean,mathOperationsQty_mean,variablesQty_mean,maxNestedBlocks_mean,anonymousClassesQty_mean,subClassesQty_mean,lambdasQty_mean,uniqueWordsQty_mean,modifiers_mean,Label
apache-tika,8015,16911,1884,16943,40242,7065,845,5113,1249,469,0,45,19,44,4189,1880,544,2833,85,0,2332,0,7056,113590,3840,1554,1633,1467,1064,22711,8288,18788,3127,14959,1522,165,288,4,82138,44129,63,323,79,167,3641,87,49,85,30,38,0,7,6,7,112,71,48,109,7,0,79,0,293,1395,63,43,53,30,131,1564,194,302,124,293,8,15,33,2,668,1025,8015,16911,1884,16943,40242,7065,845,5113,1249,469,0,45,19,44,4189,1880,544,2833,85,0,2332,0,7056,113590,3840,1554,1633,1467,1064,22711,8288,18788,3127,14959,1522,165,288,4,82138,44129,63,323,79,167,3641,87,49,85,30,38,0,7,6,7,112,71,48,109,7,0,79,0,293,1395,63,43,53,30,131,1564,194,302,124,293,8,15,33,2,668,1025,bunch
apache-tomcat,12866,58758,5118,43159,484779,25970,1863,21001,1916,1908,38,300,664,368,10049,4245,1762,6006,1838,0,5666,0,12356,325213,15526,3454,6543,3342,3776,36436,23168,47073,7513,33539,3003,281,1232,57,206168,167250,68,1013,69,495,50792,325,54,303,112,40,4,19,53,46,153,153,153,133,98,0,153,0,317,4331,313,124,119,192,235,952,1680,638,103,418,8,16,39,13,1054,1025,12866,58758,5118,43159,484779,25970,1863,21001,1916,1908,38,300,664,368,10049,4245,1762,6006,1838,0,5666,0,12356,325213,15526,3454,6543,3342,3776,36436,23168,47073,7513,33539,3003,281,1232,57,206168,167250,68,1013,69,495,50792,325,54,303,112,40,4,19,53,46,153,153,153,133,98,0,153,0,317,4331,313,124,119,192,235,952,1680,638,103,418,8,16,39,13,1054,1025,bunch
auth0-java-jwt,416,993,103,920,4941,822,52,693,30,2,0,2,0,0,139,58,18,109,0,0,92,0,1294,7824,162,16,36,16,20,1736,550,1865,120,1731,14,5,3,0,4402,3203,21,88,5,56,933,75,25,74,8,1,0,2,0,0,15,14,1,14,0,0,14,0,297,938,29,3,8,4,9,252,161,362,33,304,2,1,1,0,505,1025,416,993,103,920,4941,822,52,693,30,2,0,2,0,0,139,58,18,109,0,0,92,0,1294,7824,162,16,36,16,20,1736,550,1865,120,1731,14,5,3,0,4402,3203,21,88,5,56,933,75,25,74,8,1,0,2,0,0,15,14,1,14,0,0,14,0,297,938,29,3,8,4,9,252,161,362,33,304,2,1,1,0,505,1025,bunch
btraceio-btrace,1904,4739,468,3263,70075,2129,843,1478,336,118,0,39,47,76,659,283,123,483,24,0,289,0,1458,28332,1265,254,468,149,190,3337,1352,2985,607,2122,228,138,81,2,15252,21248,52,456,9,315,40180,284,283,277,43,12,0,18,18,38,59,59,59,48,4,0,59,0,306,2001,224,20,65,33,16,1245,145,201,65,167,7,23,18,2,1069,1025,1904,4739,468,3263,70075,2129,843,1478,336,118,0,39,47,76,659,283,123,483,24,0,289,0,1458,28332,1265,254,468,149,190,3337,1352,2985,607,2122,228,138,81,2,15252,21248,52,456,9,315,40180,284,283,277,43,12,0,18,18,38,59,59,59,48,4,0,59,0,306,2001,224,20,65,33,16,1245,145,201,65,167,7,23,18,2,1069,1025,bunch
bumptech-glide,6518,7707,848,8432,19929,5158,479,3891,729,85,0,22,67,140,2116,572,120,1835,43,0,1161,0,2677,65814,2146,410,576,206,323,3548,5161,7336,1331,6204,431,310,326,0,42355,27602,119,146,20,138,2726,90,26,82,19,5,0,4,30,18,47,27,8,47,36,0,27,0,240,931,116,19,40,9,75,489,506,211,111,130,5,13,6,0,520,1025,6518,7707,848,8432,19929,5158,479,3891,729,85,0,22,67,140,2116,572,120,1835,43,0,1161,0,2677,65814,2146,410,576,206,323,3548,5161,7336,1331,6204,431,310,326,0,42355,27602,119,146,20,138,2726,90,26,82,19,5,0,4,30,18,47,27,8,47,36,0,27,0,240,931,116,19,40,9,75,489,506,211,111,130,5,13,6,0,520,1025,bunch
bytedeco-javacpp,595,4810,205,1825,11727,1492,183,1297,13,18,0,157,8,2,243,44,10,8,49,0,56,0,611,15333,1087,644,525,101,335,3984,2872,3851,2405,2117,141,19,7,0,6865,13383,56,1117,10,170,980,49,36,41,2,3,0,14,1,1,24,7,1,3,4,0,6,0,122,3314,63,137,180,30,122,1991,550,1211,437,434,7,2,5,0,592,1025,595,4810,205,1825,11727,1492,183,1297,13,18,0,157,8,2,243,44,10,8,49,0,56,0,611,15333,1087,644,525,101,335,3984,2872,3851,2405,2117,141,19,7,0,6865,13383,56,1117,10,170,980,49,36,41,2,3,0,14,1,1,24,7,1,3,4,0,6,0,122,3314,63,137,180,30,122,1991,550,1211,437,434,7,2,5,0,592,1025,bunch
cglib-cglib,1190,2411,435,2424,14327,1454,285,1109,154,103,0,44,4,2,533,338,79,420,16,0,344,0,824,15184,767,179,239,89,187,909,837,1993,257,1734,119,145,141,0,9987,31959,74,204,15,155,5149,107,41,98,27,11,0,6,1,1,49,49,37,49,3,0,49,0,87,1269,92,14,33,15,23,158,74,184,41,174,7,35,41,0,540,1025,1190,2411,435,2424,14327,1454,285,1109,154,103,0,44,4,2,533,338,79,420,16,0,344,0,824,15184,767,179,239,89,187,909,837,1993,257,1734,119,145,141,0,9987,31959,74,204,15,155,5149,107,41,98,27,11,0,6,1,1,49,49,37,49,3,0,49,0,87,1269,92,14,33,15,23,158,74,184,41,174,7,35,41,0,540,1025,bunch
codecentric-spring-boot-admin,1802,1276,298,3055,2195,1026,73,740,118,144,0,6,4,0,548,144,30,515,3,0,306,0,741,12625,538,14,13,16,24,2008,310,1280,112,1200,71,14,59,377,7740,11536,37,38,5,65,295,27,18,20,11,17,0,2,2,0,16,8,8,16,2,0,11,0,44,242,29,2,3,3,5,77,20,36,12,32,4,3,13,23,131,1025,1802,1276,298,3055,2195,1026,73,740,118,144,0,6,4,0,548,144,30,515,3,0,306,0,741,12625,538,14,13,16,24,2008,310,1280,112,1200,71,14,59,377,7740,11536,37,38,5,65,295,27,18,20,11,17,0,2,2,0,16,8,8,16,2,0,11,0,44,242,29,2,3,3,5,77,20,36,12,32,4,3,13,23,131,1025,bunch
coobird-thumbnailator,303,1392,104,946,34101,989,56,960,19,10,0,6,2,0,110,30,14,82,14,0,78,0,1731,14966,151,25,111,164,22,1789,2571,2399,93,2295,53,15,6,0,5986,6437,15,293,4,108,23643,255,19,254,5,3,0,4,2,0,15,5,5,12,3,0,15,0,848,3945,16,7,36,38,6,690,1074,862,19,857,4,6,8,0,480,1025,303,1392,104,946,34101,989,56,960,19,10,0,6,2,0,110,30,14,82,14,0,78,0,1731,14966,151,25,111,164,22,1789,2571,2399,93,2295,53,15,6,0,5986,6437,15,293,4,108,23643,255,19,254,5,3,0,4,2,0,15,5,5,12,3,0,15,0,848,3945,16,7,36,38,6,690,1074,862,19,857,4,6,8,0,480,1025,bunch
crate-crate,25555,24780,5598,32875,121950,16702,1566,13119,1771,616,51,70,15,3,5709,1548,630,4795,80,0,4301,0,10534,209629,9681,1608,2168,628,1079,28626,15852,21731,3006,18951,1840,444,498,1837,127869,125861,344,312,36,180,19306,197,24,188,33,59,12,6,3,2,39,36,27,39,4,0,39,0,587,1869,264,21,24,45,48,914,709,245,110,228,7,30,13,43,507,1025,25555,24780,5598,32875,121950,16702,1566,13119,1771,616,51,70,15,3,5709,1548,630,4795,80,0,4301,0,10534,209629,9681,1608,2168,628,1079,28626,15852,21731,3006,18951,1840,444,498,1837,127869,125861,344,312,36,180,19306,197,24,188,33,59,12,6,3,2,39,36,27,39,4,0,39,0,587,1869,264,21,24,45,48,914,709,245,110,228,7,30,13,43,507,1025,agglomerative
