name,version,n_clusters,affinity,linkage,n_MoJo,mojoFM
apache_storm,1.1.0,150,cosine,complete, 1600,21.22107336287543
apache_storm,1.1.0,150,cosine,average, 1606,20.925652387986215
apache_storm,1.1.0,150,cosine,average, 1606,20.925652387986215
apache_storm,1.1.0,150,cosine,single, 1594,21.516494337764648
apache_storm,1.1.0,150,cosine,single, 1574,22.50123092072871
apache_storm,1.1.1,50,euclidean,complete, 1707,15.95273264401772
apache_storm,1.1.1,50,euclidean,complete, 1609,20.777941900541606
apache_storm,1.1.1,50,euclidean,average, 1705,16.051206302314135
apache_storm,1.1.1,50,euclidean,average, 1639,19.300837026095518
apache_storm,1.1.1,50,euclidean,single, 1701,16.248153618906947
apache_storm,1.1.1,50,euclidean,single, 1575,22.451994091580506
apache_storm,1.1.1,50,l1,complete, 1710,15.805022156573113
apache_storm,1.1.1,50,l1,complete, 1627,19.89167897587395
apache_storm,1.1.1,50,l1,average, 1711,15.75578532742491
apache_storm,1.1.1,50,l1,average, 1626,19.94091580502215
apache_storm,1.1.1,50,l1,single, 1713,15.657311669128504
apache_storm,1.1.1,50,l1,single, 1619,20.285573609059583
apache_storm,1.1.1,50,l2,complete, 1701,16.248153618906947
apache_storm,1.1.1,50,l2,complete, 1610,20.728705071393406
apache_storm,1.1.1,50,l2,average, 1706,16.001969473165932
apache_storm,1.1.1,50,l2,average, 1638,19.35007385524372
apache_storm,1.1.1,50,l2,single, 1699,16.346627277203353
apache_storm,1.1.1,50,l2,single, 1575,22.451994091580506
apache_storm,1.1.1,50,manhattan,complete, 1709,15.854258985721314
apache_storm,1.1.1,50,manhattan,complete, 1626,19.94091580502215
apache_storm,1.1.1,50,manhattan,average, 1710,15.805022156573113
apache_storm,1.1.1,50,manhattan,average, 1623,20.08862629246676
apache_storm,1.1.1,50,manhattan,single, 1708,15.903495814869517
apache_storm,1.1.1,50,manhattan,single, 1615,20.48252092565239
apache_storm,1.1.1,50,cosine,complete, 1703,16.14967996061054
apache_storm,1.1.1,50,cosine,complete, 1595,21.467257508616445
apache_storm,1.1.1,50,cosine,average, 1703,16.14967996061054
apache_storm,1.1.1,50,cosine,average, 1607,20.876415558838012
apache_storm,1.1.1,50,cosine,single, 1702,16.198916789758744
apache_storm,1.1.1,50,cosine,single, 1579,22.255046774987687
apache_storm,1.1.1,100,euclidean,complete, 1654,18.56228458887248
apache_storm,1.1.1,100,euclidean,complete, 1616,20.433284096504188
apache_storm,1.1.1,100,euclidean,average, 1664,18.069916297390442
apache_storm,1.1.1,100,euclidean,average, 1664,18.069916297390442
apache_storm,1.1.1,100,euclidean,single, 1657,18.41457410142787
apache_storm,1.1.1,100,euclidean,single, 1582,22.107336287543077
apache_storm,1.1.1,100,l1,complete, 1660,18.266863613983265
apache_storm,1.1.1,100,l1,complete, 1621,20.187099950763166
apache_storm,1.1.1,100,l1,average, 1663,18.119153126538656
apache_storm,1.1.1,100,l1,average, 1620,20.23633677991138
apache_storm,1.1.1,100,l1,single, 1663,18.119153126538656
apache_storm,1.1.1,100,l1,single, 1617,20.38404726735599
apache_storm,1.1.1,100,l2,complete, 1656,18.463810930576074
apache_storm,1.1.1,100,l2,complete, 1616,20.433284096504188
apache_storm,1.1.1,100,l2,average, 1662,18.16838995568686
apache_storm,1.1.1,100,l2,average, 1662,18.16838995568686
apache_storm,1.1.1,100,l2,single, 1651,18.70999507631709
apache_storm,1.1.1,100,l2,single, 1582,22.107336287543077
apache_storm,1.1.1,100,manhattan,complete, 1659,18.316100443131468
apache_storm,1.1.1,100,manhattan,complete, 1624,20.039389463318557
apache_storm,1.1.1,100,manhattan,average, 1662,18.16838995568686
apache_storm,1.1.1,100,manhattan,average, 1618,20.334810438207786
apache_storm,1.1.1,100,manhattan,single, 1659,18.316100443131468
apache_storm,1.1.1,100,manhattan,single, 1613,20.580994583948797
apache_storm,1.1.1,100,cosine,complete, 1660,18.266863613983265
apache_storm,1.1.1,100,cosine,complete, 1607,20.876415558838012
apache_storm,1.1.1,100,cosine,average, 1659,18.316100443131468
apache_storm,1.1.1,100,cosine,average, 1652,18.660758247168886
apache_storm,1.1.1,100,cosine,single, 1651,18.70999507631709
apache_storm,1.1.1,100,cosine,single, 1584,22.00886262924667
apache_storm,1.1.1,150,euclidean,complete, 1606,20.925652387986215
apache_storm,1.1.1,150,euclidean,complete, 1598,21.319547021171836
apache_storm,1.1.1,150,euclidean,average, 1613,20.580994583948797
apache_storm,1.1.1,150,euclidean,average, 1613,20.580994583948797
apache_storm,1.1.1,150,euclidean,single, 1603,21.073362875430824
apache_storm,1.1.1,150,euclidean,single, 1579,22.255046774987687
apache_storm,1.1.1,150,l1,complete, 1612,20.630231413097
apache_storm,1.1.1,150,l1,complete, 1604,21.02412604628262
apache_storm,1.1.1,150,l1,average, 1612,20.630231413097
apache_storm,1.1.1,150,l1,average, 1597,21.36878385032004
apache_storm,1.1.1,150,l1,single, 1611,20.679468242245203
apache_storm,1.1.1,150,l1,single, 1598,21.319547021171836
apache_storm,1.1.1,150,l2,complete, 1608,20.82717872968981
apache_storm,1.1.1,150,l2,complete, 1600,21.22107336287543
apache_storm,1.1.1,150,l2,average, 1615,20.48252092565239
