project_name,version,cbo,wmc,dit,rfc,lcom,totalMethods,staticMethods,publicMethods,privateMethods,protectedMethods,defaultMethods,abstractMethods,finalMethods,synchronizedMethods,totalFields,staticFields,publicFields,privateFields,protectedFields,defaultFields,finalFields,synchronizedFields,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
spring-projects-spring-security,5.1.4,8.080774070087292,9.7417384280818,1.377171816990748,13.092098359477378,45.55223282954336,6.316778228265629,1.0054568779969186,5.548163885832427,1.5714401050550413,0.9764378818719738,0.5522715517119239,0.19566147918811314,0.8400578579819472,0.08703882797785,3.667137735581673,2.2580714744035277,1.3069072410953,3.136606712990696,0.41051434502965944,0.0,2.5278762762976457,0.0,5.509160515105513,89.89954041132933,3.715009896120336,0.815195512128803,1.4821013069467344,1.1280121748599612,1.754117233681195,17.47755080132927,35.4979244259581,13.564184505336154,2.70152766359992,12.102827878033601,1.0688620144742629,0.4513712187687275,1.740669097715488,1.9120897370370031,55.826896002724176,211.93511266879753
spring-projects-spring-security,5.1.5,8.08253236484842,9.742592432596188,1.377171816990748,13.100037423502943,45.55313563765591,6.318447383271524,1.0054568779969186,5.549855001466325,1.5726112806543537,0.9764378818719738,0.5522715517119239,0.19566147918811314,0.8400578579819472,0.08703882797785,3.667137735581673,2.2580714744035277,1.3069072410953,3.136606712990696,0.41051434502965944,0.0,2.527983679593065,0.0,5.509275426170122,89.9965647842953,3.715948881978655,0.815195512128803,1.4821013069467344,1.1280121748599612,1.7537899269842332,17.479714311568518,35.497898068268945,13.572435283224573,2.70152766359992,12.108932236072457,1.0688620144742629,0.4513712187687275,1.7425979563729002,1.9224659013240588,55.83584601348517,211.93511266879753
spring-projects-spring-security,5.1.6,8.094078975681448,9.762509345555149,1.376890683885232,13.153946620130409,45.865287808792814,6.319090186958807,1.0058172734721418,5.54613331381563,1.5811671741852493,0.9762177435200227,0.5521410208136613,0.1956158303147851,0.8398631290741817,0.0870182295092187,3.6691141472285866,2.257569994605535,1.3066020399681437,3.1397399009905413,0.41041939954558027,0.0,2.5274655969544177,0.0,5.461499344435998,90.03504910764525,3.726661770087198,0.8150181900703725,1.491036086867794,1.1277615807786183,1.753385865772879,17.4841720010341,35.48993715568399,13.56210633522435,2.703347688633071,12.1289433370963,1.0686572997591217,0.45169885881452165,1.7422080387847614,1.935051407179862,55.83257927625378,211.8874775104953
jankotek-mapdb,1.0.8,8.102045350088403,145.58519193109964,1.653353601434054,30.607569936427506,532.8264131047823,21.73963797088458,2.3029953473030353,19.59127702460757,2.542839804573984,3.837140890141803,0.0,1.6063229307375133,0.2933484473684959,2.930724703349261,5.956398422750329,2.8912234653542512,1.8692105414895421,1.382643376427322,4.874907371655877,0.0,4.831314031113871,0.0,19.02803714181839,1015.944969548327,15.99343989512705,54.93590190734519,12.099776723693074,49.9676690656707,35.24093404852578,64.82831184227979,209.10434230066159,339.73774670487774,37.65075820436091,91.5633786247622,1.7149176284767198,2.2911023562468644,2.3013191068261083,0.0,103.76866159163362,240.1233434013439
jankotek-mapdb,1.0.9,8.113023192080162,145.20390218160327,1.6497687088133481,30.66401625240107,531.3950415148074,21.704312034909645,2.29750561713369,19.557354617630068,2.5358300806924983,3.827139344722115,0.0,1.6017700922472629,0.29251081281723873,2.922257458607802,5.943351795798776,2.8836957251217403,1.8638999077140939,1.37893627507066,4.861760167228096,0.0,4.8189425485188595,0.0,18.99786674123805,1013.3743396652467,15.959854781475526,54.78226831401973,12.068142880758524,49.82664260967065,35.14572623889363,64.6624898928248,208.5643893782832,338.79048135103557,37.554828851290765,91.33921610959919,1.713185543055233,2.2852002259299824,2.295764289704172,0.0,103.6503971334286,239.4684050525591
jankotek-mapdb,3.0.0,7.526401825786467,87.86463992535657,2.7844637332193813,34.505421020020805,954.3943147188015,25.190797413844493,5.207680184560942,23.151838834371876,1.0373690584427546,1.7329383147370871,0.7356872109471064,2.200401518751473,1.1617004942726998,1.9111764138062217,7.01060208601402,4.808667972654476,2.9189977638233087,1.2623446906356273,2.807560648380392,0.0,4.920228433995596,0.0,21.08926627874803,586.5510981626022,10.590984362734629,30.469552440814226,3.4402659871637704,30.673956745134586,20.320422702060604,46.848741550308915,178.88125633307794,169.57209050298056,24.70825199998933,70.83706420691941,1.1441203064989165,3.521146364105602,4.532963581318433,7.856881926521872,105.06282095504558,432.33513871157464
jankotek-mapdb,3.0.1,7.484768983287068,87.41314520097697,2.7723826519180035,34.3296074565763,949.5048852044033,25.14212999182905,5.174928396679163,23.10187691186756,1.0313426659167062,1.7229156209445136,0.7307602346787221,2.1866264030010827,1.1540982111310834,1.8983558047618145,6.9674751624724145,4.777889094291716,2.8996300044812138,1.2541604985567165,2.78969951123061,0.0,4.890122273132007,0.0,20.983860934898786,583.3518074951153,10.551034277468931,30.270861399737154,3.424630961832462,30.476486879135294,20.206830043575355,46.542986495000015,177.84935116694257,168.52277373562725,24.558080354948665,70.46517073416712,1.1367977338168385,3.4989050138618474,4.503752189428697,7.804923634496549,104.78555879568553,430.2866300308581
jankotek-mapdb,3.0.2,7.484768983287068,87.41314520097697,2.7723826519180035,34.3296074565763,949.5048852044033,25.14212999182905,5.174928396679163,23.10187691186756,1.0313426659167062,1.7229156209445136,0.7307602346787221,2.1866264030010827,1.1540982111310834,1.8983558047618145,6.9674751624724145,4.777889094291716,2.8996300044812138,1.2541604985567165,2.78969951123061,0.0,4.890122273132007,0.0,20.983860934898786,583.3518074951153,10.551034277468931,30.270861399737154,3.424630961832462,30.476486879135294,20.206830043575355,46.542986495000015,177.84935116694257,168.52277373562725,24.558080354948665,70.46517073416712,1.1367977338168385,3.4989050138618474,4.503752189428697,7.804923634496549,104.78555879568553,430.2866300308581
jankotek-mapdb,3.0.3,7.465607946672714,87.20334024758209,2.765236416380839,34.251226728957874,947.0877459945171,25.122785721653308,5.15878087674095,23.079038399006553,1.028367225210986,1.7188128674693122,0.7283335765002993,2.1798343635122825,1.150352538124156,1.8920414977168944,6.945218689128584,4.762718754334115,2.8900895227768353,1.250127510274975,2.7808951932898585,0.0,4.875272033940432,0.0,20.93165185113211,581.8121182090097,10.531089586302093,30.177701888566133,3.416868275821831,30.379166887204626,20.150702909340207,46.39520147987228,177.34903464492115,168.02073218193343,24.49017060732404,70.30641914296969,1.1331885681986913,3.487940233053203,4.4886134837732925,7.779327852356646,104.62728137989895,429.2706518884173
jankotek-mapdb,3.0.4,7.413264081909207,86.58720607137039,2.7448861041584585,34.03373293719305,939.9283954349349,25.05564670321934,5.110122023320314,23.007974119096524,1.0203468386478358,1.706641350431427,0.7211961168845025,2.1598288545888407,1.1393303363867198,1.8734700213455817,6.885457771547964,4.718057006809547,2.8620231429162533,1.238257539345563,2.7549717387018187,0.0,4.831509210603864,0.0,20.765311035832347,577.3276564570737,10.467441782083165,29.90524825860861,3.3938013873674424,30.09269019944832,19.984935847250412,45.976789286321186,175.85488327732108,166.5378937510606,24.298453874292385,69.82977976776714,1.1137953473055069,3.455650512976717,4.446273703361189,7.703432952714395,104.22368222910042,426.20111188369475
