name,version,n_clusters,affinity,linkage,n_MoJo,mojoFM,extremity
apache-spark,2.4.3,50,l1,single,107,99.22821696480094,0.0
jenkinsci-jenkins,2.194,50,cosine,single,114,99.02002922719849,0.020000000000000018
ionic-team-capacitor,0.0.112,50,l2,single,8,99.00867410161092,0.040000000000000036
hibernate-hibernate-orm,5.3.7,50,manhattan,single,111,98.986301369863,0.0
iSoron-uhabits,1.7.8,300,l1,complete,9,98.6046511627907,0.06000000000000005
apache-tomcat,9.0.22,50,l1,single,102,97.4365418446846,0.0
apache-activemq,5.15.8,50,cosine,single,158,97.05498602050328,0.020000000000000018
activiti-activiti,7.1.83,50,manhattan,single,124,96.98590179873602,0.0
hazelcast-hazelcast,3.8.9,50,cosine,single,208,96.7494921081419,0.020000000000000018
cglib-cglib,3.2.7,200,l2,complete,10,95.96774193548387,0.09999999999999998
airbnb-lottie-android,3.0.0,150,manhattan,complete,34,95.50264550264549,0.0
spring-projects-spring-security,5.0.6,50,l1,single,118,95.49790156428844,0.0
pmd-pmd,6.3.0,50,l1,single,138,95.19163763066202,0.0
querydsl-querydsl,4.1.3,50,l1,single,118,94.5945945945946,0.0
apache-maven,3.3.7,50,l1,single,107,94.30851063829788,0.0
javaparser-javaparser,3.14.2,50,l1,single,104,94.07069555302166,0.0
codecentric-spring-boot-admin,2.1.4,200,l1,complete,26,94.06392694063929,0.0
ReactiveX-RxJava,2.2.8,50,cosine,single,110,93.61207897793264,0.040000000000000036
oracle-opengrok,1.3.1,50,cosine,single,105,93.40037712130736,0.0
apache-cassandra,3.2,50,euclidean,single,170,92.8691275167785,0.020000000000000018
oblac-jodd,5.0.8,50,cosine,single,177,92.8657799274486,0.0
scribejava-scribejava,6.6.2,250,euclidean,complete,23,92.58064516129032,0.0
apache-archiva,1.3.9,50,manhattan,single,138,92.43006034009872,0.0
jankotek-mapdb,1.0.7,150,manhattan,average,19,92.36947791164656,0.07999999999999996
redisson-redisson,3.7.2,50,cosine,single,111,92.11647727272728,0.020000000000000018
crate-crate,3.3.5,50,cosine,single,230,91.75331660093224,0.0
alibaba-fastjson,1.2.54,50,manhattan,single,231,91.68466522678186,0.0
facebook-facebook-android-sdk,5.2.0,50,manhattan,single,96,91.01123595505621,0.0
JodaOrg-joda-time,2.9.2,300,cosine,single,44,90.83333333333331,0.0
