file,class,method,variable,usage
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,"InteractionContext/2[org.apache.isis.applib.annotation.Bulk.InteractionContext.InvokedAs,java.util.List<java.lang.Object>]",domainObjects,3
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,getSize/0,domainObjects,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,"with/2[java.lang.Runnable,java.lang.Object[]]",domainObjects,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,"with/3[java.lang.Runnable,org.apache.isis.applib.annotation.InvokedOn,java.lang.Object[]]",domainObjects,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,isBulk/0,BULK,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,bulkAction/1[java.lang.Object[]],domainObjects,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,getIndex/0,index,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,isLast/0,index,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\Bulk.java,org.apache.isis.applib.annotation.Bulk$InteractionContext,isFirst/0,index,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,getLeft/0,left,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,getCollections/0,collections,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,name/0,middle,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,name/0,left,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,name/0,collections,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,name/0,right,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,hashCode/0,middle,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,hashCode/0,collections,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,hashCode/0,left,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,hashCode/0,right,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,getRight/0,right,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,ColumnSpans/1[java.util.List<java.lang.Integer>],middle,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,ColumnSpans/1[java.util.List<java.lang.Integer>],left,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,ColumnSpans/1[java.util.List<java.lang.Integer>],collections,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,ColumnSpans/1[java.util.List<java.lang.Integer>],right,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,getMiddle/0,middle,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,equals/1[java.lang.Object],middle,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,equals/1[java.lang.Object],collections,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,equals/1[java.lang.Object],left,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\annotation\MemberGroupLayout.java,org.apache.isis.applib.annotation.MemberGroupLayout$ColumnSpans,equals/1[java.lang.Object],right,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,getConfigurationProperties/0,configurationProperties,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,"overrideConfigurationProperties/1[java.util.Map<java.lang.String,java.lang.String>]",configurationProperties,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,overrideAdditionalServices/1[java.util.List<java.lang.Class<?>>],additionalServices,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,getAdditionalServices/0,additionalServices,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,getFixtures/0,fixtureClasses,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,AppManifestAbstract/1[org.apache.isis.applib.AppManifestAbstract.BuilderAbstract<?>],additionalServices,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,AppManifestAbstract/1[org.apache.isis.applib.AppManifestAbstract.BuilderAbstract<?>],fixtureClasses,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,AppManifestAbstract/1[org.apache.isis.applib.AppManifestAbstract.BuilderAbstract<?>],authMechanism,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,AppManifestAbstract/1[org.apache.isis.applib.AppManifestAbstract.BuilderAbstract<?>],configurationProperties,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,AppManifestAbstract/1[org.apache.isis.applib.AppManifestAbstract.BuilderAbstract<?>],modules,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,getAuthorizationMechanism/0,authMechanism,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,getAuthenticationMechanism/0,authMechanism,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,obtainBuilderFixturesFrom/1[org.apache.isis.applib.ModuleOrBuilderAbstract<?>],AppManifestAbstract2,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,obtainBuilderFixturesFrom/1[org.apache.isis.applib.ModuleOrBuilderAbstract<?>],Builder,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,obtainBuilderFixturesFrom/1[org.apache.isis.applib.ModuleOrBuilderAbstract<?>],builder,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,obtainBuilderFixturesFrom/1[org.apache.isis.applib.ModuleOrBuilderAbstract<?>],fixtures,0
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\apache-isis\apache-isis-1.17.0\core\applib\src\main\java\org\apache\isis\applib\AppManifestAbstract.java,org.apache.isis.applib.AppManifestAbstract,getModules/0,modules,1
