file,class,method,line,cbo,wmc,rfc,loc,returns,variables,parameters,startLine,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocks,anonymousClassesQty,subClassesQty,lambdasQty,uniqueWordsQty,modifiers
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\CompileChangelog.java,lombok.website.CompileChangelog,"buildEdge/2[java.lang.String,java.lang.String]",48,1,4,9,9,1,3,2,48,0,0,0,0,5,3,4,2,1,0,0,0,15,10
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\CompileChangelog.java,lombok.website.CompileChangelog,build/1[java.lang.String],42,1,1,1,3,1,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,4,10
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\CompileChangelog.java,lombok.website.CompileChangelog,main/1[java.lang.String[]],11,2,6,12,27,0,11,1,11,1,1,1,0,3,10,11,0,2,0,0,0,25,9
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\WebUpToDate.java,lombok.website.WebUpToDate,isUpToDate/1[Resource],157,5,3,3,17,2,2,1,157,0,0,1,0,2,1,2,3,1,0,0,0,20,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\WebUpToDate.java,lombok.website.WebUpToDate,execute/0,179,3,3,6,10,0,1,0,179,0,1,0,0,2,0,1,0,1,0,0,0,33,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\WebUpToDate.java,lombok.website.WebUpToDate,setUrlbase/1[java.lang.String],101,0,2,2,4,0,0,1,101,0,0,0,0,1,1,2,2,0,0,0,0,3,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\WebUpToDate.java,lombok.website.WebUpToDate,setSrcfile/1[java.io.File],80,0,1,0,3,0,0,1,80,0,0,0,0,0,0,1,0,0,0,0,0,19,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\WebUpToDate.java,lombok.website.WebUpToDate,getValue/0,70,0,2,0,3,1,0,0,70,0,0,0,1,1,0,0,0,0,0,0,0,9,2
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\WebUpToDate.java,lombok.website.WebUpToDate,setProperty/1[java.lang.String],53,0,1,0,3,0,0,1,53,0,0,0,0,0,0,1,0,0,0,0,0,19,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\WebUpToDate.java,lombok.website.WebUpToDate,setValue/1[java.lang.String],63,0,1,0,3,0,0,1,63,0,0,0,0,0,0,1,0,0,0,0,0,21,1
C:\Users\tanji\Desktop\FIT4003\raw_sourcecode\rzwitserloot-lombok\rzwitserloot-lombok-1.16.8\buildScripts\src\lombok\website\WebUpToDate.java,lombok.website.WebUpToDate,addSrcfiles/1[FileSet],88,1,1,1,3,0,0,1,88,0,0,0,0,0,0,0,0,0,0,0,0,12,1
